alpha3,alpha2,name,type
alk,,Alak,Living
all,,Allar,Living
alm,,Amblong,Living
aln,,Gheg Albanian,Living
alo,,Larike-Wakasihu,Living
alp,,Alune,Living
alq,,Algonquin,Living
alr,,Alutor,Living
als,,Tosk Albanian,Living
alt,,Southern Altai,Living
alu,,'Are'are,Living
alw,,Alaba-K’abeena,Living
alx,,Amol,Living
aly,,Alyawarr,Living
alz,,Alur,Living
ama,,Amanayé,Extinct
amb,,Ambo,Living
amc,,Amahuaca,Living
ame,,Yanesha',Living
amf,,Hamer-Banna,Living
amg,,Amurdak,Living
amh,am,Amharic,Living
ami,,Amis,Living
amj,,Amdang,Living
amk,,Ambai,Living
aml,,War-Jaintia,Living
amm,,Ama (Papua New Guinea),Living
amn,,Amanab,Living
amo,,Amo,Living
amp,,Alamblak,Living
amq,,Amahai,Living
amr,,Amarakaeri,Living
ams,,Southern Amami-Oshima,Living
amt,,Amto,Living
amu,,Guerrero Amuzgo,Living
amv,,Ambelau,Living
amw,,Western Neo-Aramaic,Living
amx,,Anmatyerre,Living
amy,,Ami,Living
amz,,Atampaya,Extinct
ana,,Andaqui,Extinct
anb,,Andoa,Extinct
anc,,Ngas,Living
and,,Ansus,Living
ane,,Xârâcùù,Living
anf,,Animere,Living
ang,,Old English (ca. 450-1100),Historical
anh,,Nend,Living
ani,,Andi,Living
anj,,Anor,Living
ank,,Goemai,Living
anl,,Anu-Hkongso Chin,Living
anm,,Anal,Living
ann,,Obolo,Living
ano,,Andoque,Living
anp,,Angika,Living
anq,,Jarawa (India),Living
anr,,Andh,Living
ans,,Anserma,Extinct
ant,,Antakarinya,Living
anu,,Anuak,Living
anv,,Denya,Living
anw,,Anaang,Living
anx,,Andra-Hus,Living
any,,Anyin,Living
anz,,Anem,Living
aoa,,Angolar,Living
aob,,Abom,Living
aoc,,Pemon,Living
aod,,Andarum,Living
aoe,,Angal Enen,Living
aof,,Bragat,Living
aog,,Angoram,Living
aoh,,Arma,Extinct
aoi,,Anindilyakwa,Living
aoj,,Mufian,Living
aok,,Arhö,Living
aol,,Alor,Living
aom,,Ömie,Living
aon,,Bumbita Arapesh,Living
aor,,Aore,Extinct
aos,,Taikat,Living
aot,,A'tong,Living
aou,,A'ou,Living
aox,,Atorada,Living
aoz,,Uab Meto,Living
apb,,Sa'a,Living
apc,,North Levantine Arabic,Living
apd,,Sudanese Arabic,Living
ape,,Bukiyip,Living
apf,,Pahanan Agta,Living
apg,,Ampanang,Living
aph,,Athpariya,Living
api,,Apiaká,Living
apj,,Jicarilla Apache,Living
apk,,Kiowa Apache,Living
apl,,Lipan Apache,Living
apm,,Mescalero-Chiricahua Apache,Living
apn,,Apinayé,Living
apo,,Ambul,Living
app,,Apma,Living
apq,,A-Pucikwar,Living
apr,,Arop-Lokep,Living
aps,,Arop-Sissano,Living
apt,,Apatani,Living
apu,,Apurinã,Living
apv,,Alapmunte,Extinct
apw,,Western Apache,Living
apx,,Aputai,Living
apy,,Apalaí,Living
apz,,Safeyoka,Living
aqc,,Archi,Living
aqd,,Ampari Dogon,Living
aqg,,Arigidi,Living
aqm,,Atohwaim,Living
aqn,,Northern Alta,Living
aqp,,Atakapa,Extinct
aqr,,Arhâ,Living
aqt,,Angaité,Living
aqz,,Akuntsu,Living
ara,ar,Arabic,Living
arb,,Standard Arabic,Living
arc,,Official Aramaic (700-300 BCE),Ancient
ard,,Arabana,Extinct
are,,Western Arrarnta,Living
arg,an,Aragonese,Living
arh,,Arhuaco,Living
ari,,Arikara,Living
arj,,Arapaso,Extinct
ark,,Arikapú,Living
arl,,Arabela,Living
arn,,Mapudungun,Living
aro,,Araona,Living
arp,,Arapaho,Living
arq,,Algerian Arabic,Living
arr,,Karo (Brazil),Living
ars,,Najdi Arabic,Living
aru,,Aruá (Amazonas State),Extinct
arv,,Arbore,Living
arw,,Arawak,Living
arx,,Aruá (Rodonia State),Living
ary,,Moroccan Arabic,Living
arz,,Egyptian Arabic,Living
asa,,Asu (Tanzania),Living
asb,,Assiniboine,Living
asc,,Casuarina Coast Asmat,Living
asd,,Asas,Living
ase,,American Sign Language,Living
asf,,Australian Sign Language,Living
asg,,Cishingini,Living
ash,,Abishira,Extinct
asi,,Buruwai,Living
asj,,Sari,Living
ask,,Ashkun,Living
asl,,Asilulu,Living
asm,as,Assamese,Living
asn,,Xingú Asuriní,Living
aso,,Dano,Living
asp,,Algerian Sign Language,Living
asq,,Austrian Sign Language,Living
asr,,Asuri,Living
ass,,Ipulo,Living
ast,,Asturian,Living
asu,,Tocantins Asurini,Living
asv,,Asoa,Living
asw,,Australian Aborigines Sign Language,Living
asx,,Muratayak,Living
asy,,Yaosakor Asmat,Living
asz,,As,Living
ata,,Pele-Ata,Living
atb,,Zaiwa,Living
atc,,Atsahuaca,Extinct
atd,,Ata Manobo,Living
ate,,Atemble,Living
atg,,Ivbie North-Okpela-Arhe,Living
ati,,Attié,Living
atj,,Atikamekw,Living
atk,,Ati,Living
atl,,Mt. Iraya Agta,Living
atm,,Ata,Living
atn,,Ashtiani,Living
ato,,Atong,Living
atp,,Pudtol Atta,Living
atq,,Aralle-Tabulahan,Living
atr,,Waimiri-Atroari,Living
ats,,Gros Ventre,Living
att,,Pamplona Atta,Living
atu,,Reel,Living
atv,,Northern Altai,Living
atw,,Atsugewi,Living
atx,,Arutani,Living
aty,,Aneityum,Living
atz,,Arta,Living
aua,,Asumboa,Living
aub,,Alugu,Living
auc,,Waorani,Living
aud,,Anuta,Living
aue,,Err:510,Living
aug,,Aguna,Living
auh,,Aushi,Living
aui,,Anuki,Living
auj,,Awjilah,Living
auk,,Heyo,Living
aul,,Aulua,Living
aum,,Asu (Nigeria),Living
aun,,Molmo One,Living
auo,,Auyokawa,Extinct
aup,,Makayam,Living
auq,,Anus,Living
aur,,Aruek,Living
aut,,Austral,Living
auu,,Auye,Living
auw,,Awyi,Living
aux,,Aurá,Extinct
auy,,Awiyaana,Living
auz,,Uzbeki Arabic,Living
ava,av,Avaric,Living
avb,,Avau,Living
avd,,Alviri-Vidari,Living
ave,ae,Avestan,Ancient
avi,,Avikam,Living
avk,,Kotava,Constructed
avl,,Eastern Egyptian Bedawi Arabic,Living
avm,,Angkamuthi,Extinct
avn,,Avatime,Living
avo,,Agavotaguerra,Extinct
avs,,Aushiri,Extinct
avt,,Au,Living
avu,,Avokaya,Living
avv,,Avá-Canoeiro,Living
awa,,Awadhi,Living
awb,,Awa (Papua New Guinea),Living
awc,,Cicipu,Living
awe,,Awetí,Living
awg,,Anguthimri,Extinct
awh,,Awbono,Living
awi,,Aekyom,Living
awk,,Awabakal,Extinct
awm,,Arawum,Living
awn,,Awngi,Living
awo,,Awak,Living
awr,,Awera,Living
aws,,South Awyu,Living
awt,,Araweté,Living
awu,,Central Awyu,Living
awv,,Jair Awyu,Living
aww,,Awun,Living
awx,,Awara,Living
awy,,Edera Awyu,Living
axb,,Abipon,Extinct
axe,,Ayerrerenge,Extinct
axg,,Mato Grosso Arára,Extinct
axk,,Yaka (Central African Republic),Living
axl,,Lower Southern Aranda,Extinct
axm,,Middle Armenian,Historical
axx,,Xârâgurè,Living
aya,,Awar,Living
ayb,,Ayizo Gbe,Living
ayc,,Southern Aymara,Living
ayd,,Ayabadhu,Extinct
aye,,Ayere,Living
ayg,,Ginyanga,Living
ayh,,Hadrami Arabic,Living
ayi,,Leyigha,Living
ayk,,Akuku,Living
ayl,,Libyan Arabic,Living
aym,ay,Aymara,Living
ayn,,Sanaani Arabic,Living
ayo,,Ayoreo,Living
ayp,,North Mesopotamian Arabic,Living
ayq,,Ayi (Papua New Guinea),Living
ayr,,Central Aymara,Living
ays,,Sorsogon Ayta,Living
ayt,,Magbukun Ayta,Living
ayu,,Ayu,Living
ayy,,Tayabas Ayta,Extinct
ayz,,Mai Brat,Living
aza,,Azha,Living
azb,,South Azerbaijani,Living
azd,,Eastern Durango Nahuatl,Living
aze,az,Azerbaijani,Living
azg,,San Pedro Amuzgos Amuzgo,Living
azj,,North Azerbaijani,Living
azm,,Ipalapa Amuzgo,Living
azn,,Western Durango Nahuatl,Living
azo,,Awing,Living
azt,,Faire Atta,Living
azz,,Highland Puebla Nahuatl,Living
baa,,Babatana,Living
bab,,Bainouk-Gunyuño,Living
bac,,Badui,Living
bae,,Baré,Extinct
baf,,Nubaca,Living
bag,,Tuki,Living
bah,,Bahamas Creole English,Living
baj,,Barakai,Living
bak,ba,Bashkir,Living
bal,,Baluchi,Living
bam,bm,Bambara,Living
ban,,Balinese,Living
bao,,Waimaha,Living
bap,,Bantawa,Living
bar,,Bavarian,Living
bas,,Basa (Cameroon),Living
bau,,Bada (Nigeria),Living
bav,,Vengo,Living
baw,,Bambili-Bambui,Living
bax,,Bamun,Living
bay,,Batuley,Living
bba,,Baatonum,Living
bbb,,Barai,Living
bbc,,Batak Toba,Living
bbd,,Bau,Living
bbe,,Bangba,Living
bbf,,Baibai,Living
bbg,,Barama,Living
bbh,,Bugan,Living
bbi,,Barombi,Living
bbj,,Ghomálá',Living
bbk,,Babanki,Living
bbl,,Bats,Living
bbm,,Babango,Living
bbn,,Uneapa,Living
bbo,,Northern Bobo Madaré,Living
bbp,,West Central Banda,Living
bbq,,Bamali,Living
bbr,,Girawa,Living
bbs,,Bakpinka,Living
bbt,,Mburku,Living
bbu,,Kulung (Nigeria),Living
bbv,,Karnai,Living
bbw,,Baba,Living
bbx,,Bubia,Living
bby,,Befang,Living
bbz,,Babalia Creole Arabic,Living
bca,,Central Bai,Living
bcb,,Bainouk-Samik,Living
bcc,,Southern Balochi,Living
bcd,,North Babar,Living
bce,,Bamenyam,Living
bcf,,Bamu,Living
bcg,,Baga Binari,Living
bch,,Bariai,Living
bci,,Baoulé,Living
bcj,,Bardi,Living
bck,,Bunaba,Living
bcl,,Central Bikol,Living
bcm,,Bannoni,Living
bcn,,Bali (Nigeria),Living
bco,,Kaluli,Living
bcp,,Bali (Democratic Republic of Congo),Living
bcq,,Bench,Living
bcr,,Babine,Living
bcs,,Kohumono,Living
bct,,Bendi,Living
bcu,,Awad Bing,Living
bcv,,Shoo-Minda-Nye,Living
bcw,,Bana,Living
bcy,,Bacama,Living
bcz,,Bainouk-Gunyaamolo,Living
bda,,Bayot,Living
bdb,,Basap,Living
bdc,,Emberá-Baudó,Living
bdd,,Bunama,Living
bde,,Bade,Living
bdf,,Biage,Living
bdg,,Bonggi,Living
bdh,,Baka (Sudan),Living
bdi,,Burun,Living
bdj,,Bai,Living
bdk,,Budukh,Living
bdl,,Indonesian Bajau,Living
bdm,,Buduma,Living
bdn,,Baldemu,Living
bdo,,Morom,Living
bdp,,Bende,Living
bdq,,Bahnar,Living
bdr,,West Coast Bajau,Living
bds,,Burunge,Living
bdt,,Bokoto,Living
bdu,,Oroko,Living
bdv,,Bodo Parja,Living
bdw,,Baham,Living
bdx,,Budong-Budong,Living
bdy,,Bandjalang,Living
bdz,,Badeshi,Living
bea,,Beaver,Living
beb,,Bebele,Living
bec,,Iceve-Maci,Living
bed,,Bedoanas,Living
bee,,Byangsi,Living
bef,,Benabena,Living
beg,,Belait,Living
beh,,Biali,Living
bei,,Bekati',Living
bej,,Beja,Living
bek,,Bebeli,Living
bel,be,Belarusian,Living
bem,,Bemba (Zambia),Living
ben,bn,Bengali,Living
beo,,Beami,Living
bep,,Besoa,Living
beq,,Beembe,Living
bes,,Besme,Living
bet,,Guiberoua Béte,Living
beu,,Blagar,Living
bev,,Daloa Bété,Living
bew,,Betawi,Living
