alpha3,alpha2,name,type
bta,,Bata,Living
btc,,Bati (Cameroon),Living
btd,,Batak Dairi,Living
bte,,Gamo-Ningi,Extinct
btf,,Birgit,Living
btg,,Gagnoa Bété,Living
bth,,Biatah Bidayuh,Living
bti,,Burate,Living
btj,,Bacanese Malay,Living
btl,,Bhatola,Living
btm,,Batak Mandailing,Living
btn,,Ratagnon,Living
bto,,Rinconada Bikol,Living
btp,,Budibud,Living
btq,,Batek,Living
btr,,Baetora,Living
bts,,Batak Simalungun,Living
btt,,Bete-Bendi,Living
btu,,Batu,Living
btv,,Bateri,Living
btw,,Butuanon,Living
btx,,Batak Karo,Living
bty,,Bobot,Living
btz,,Batak Alas-Kluet,Living
bua,,Buriat,Living
bub,,Bua,Living
buc,,Bushi,Living
bud,,Ntcham,Living
bue,,Beothuk,Extinct
buf,,Bushoong,Living
bug,,Buginese,Living
buh,,Younuo Bunu,Living
bui,,Bongili,Living
buj,,Basa-Gurmana,Living
buk,,Bugawac,Living
bul,bg,Bulgarian,Living
bum,,Bulu (Cameroon),Living
bun,,Sherbro,Living
buo,,Terei,Living
bup,,Busoa,Living
buq,,Brem,Living
bus,,Bokobaru,Living
but,,Bungain,Living
buu,,Budu,Living
buv,,Bun,Living
buw,,Bubi,Living
bux,,Boghom,Living
buy,,Bullom So,Living
buz,,Bukwen,Living
bva,,Barein,Living
bvb,,Bube,Living
bvc,,Baelelea,Living
bvd,,Baeggu,Living
bve,,Berau Malay,Living
bvf,,Boor,Living
bvg,,Bonkeng,Living
bvh,,Bure,Living
bvi,,Belanda Viri,Living
bvj,,Baan,Living
bvk,,Bukat,Living
bvl,,Bolivian Sign Language,Living
bvm,,Bamunka,Living
bvn,,Buna,Living
bvo,,Bolgo,Living
bvp,,Bumang,Living
bvq,,Birri,Living
bvr,,Burarra,Living
bvt,,Bati (Indonesia),Living
bvu,,Bukit Malay,Living
bvv,,Baniva,Extinct
bvw,,Boga,Living
bvx,,Dibole,Living
bvy,,Baybayanon,Living
bvz,,Bauzi,Living
bwa,,Bwatoo,Living
bwb,,Namosi-Naitasiri-Serua,Living
bwc,,Bwile,Living
bwd,,Bwaidoka,Living
bwe,,Bwe Karen,Living
bwf,,Boselewa,Living
bwg,,Barwe,Living
bwh,,Bishuo,Living
bwi,,Baniwa,Living
bwj,,Láá Láá Bwamu,Living
bwk,,Bauwaki,Living
bwl,,Bwela,Living
bwm,,Biwat,Living
bwn,,Wunai Bunu,Living
bwo,,Boro (Ethiopia),Living
bwp,,Mandobo Bawah,Living
bwq,,Southern Bobo Madaré,Living
bwr,,Bura-Pabir,Living
bws,,Bomboma,Living
bwt,,Bafaw-Balong,Living
bwu,,Buli (Ghana),Living
bww,,Bwa,Living
bwx,,Bu-Nao Bunu,Living
bwy,,Cwi Bwamu,Living
bwz,,Bwisi,Living
bxa,,Tairaha,Living
bxb,,Belanda Bor,Living
bxc,,Molengue,Living
bxd,,Pela,Living
bxe,,Birale,Living
bxf,,Bilur,Living
bxg,,Bangala,Living
bxh,,Buhutu,Living
bxi,,Pirlatapa,Extinct
bxj,,Bayungu,Living
bxk,,Bukusu,Living
bxl,,Jalkunan,Living
bxm,,Mongolia Buriat,Living
bxn,,Burduna,Living
bxo,,Barikanchi,Living
bxp,,Bebil,Living
bxq,,Beele,Living
bxr,,Russia Buriat,Living
bxs,,Busam,Living
bxu,,China Buriat,Living
bxv,,Berakou,Living
bxw,,Bankagooma,Living
bxx,,Borna (Democratic Republic of Congo),Living
bxz,,Binahari,Living
bya,,Batak,Living
byb,,Bikya,Living
byc,,Ubaghara,Living
byd,,Benyadu',Living
bye,,Pouye,Living
byf,,Bete,Living
byg,,Baygo,Extinct
byh,,Bhujel,Living
byi,,Buyu,Living
byj,,Bina (Nigeria),Living
byk,,Biao,Living
byl,,Bayono,Living
bym,,Bidyara,Living
byn,,Bilin,Living
byo,,Biyo,Living
byp,,Bumaji,Living
byq,,Basay,Extinct
byr,,Baruya,Living
bys,,Burak,Living
byt,,Berti,Extinct
byv,,Medumba,Living
byw,,Belhariya,Living
byx,,Qaqet,Living
byy,,Buya,Living
byz,,Banaro,Living
bza,,Bandi,Living
bzb,,Andio,Living
bzc,,Southern Betsimisaraka Malagasy,Living
bzd,,Bribri,Living
bze,,Jenaama Bozo,Living
bzf,,Boikin,Living
bzg,,Babuza,Living
bzh,,Mapos Buang,Living
bzi,,Bisu,Living
bzj,,Belize Kriol English,Living
bzk,,Nicaragua Creole English,Living
bzl,,Boano (Sulawesi),Living
bzm,,Bolondo,Living
bzn,,Boano (Maluku),Living
bzo,,Bozaba,Living
bzp,,Kemberano,Living
bzq,,Buli (Indonesia),Living
bzr,,Biri,Extinct
bzs,,Brazilian Sign Language,Living
bzt,,Brithenig,Constructed
bzu,,Burmeso,Living
bzv,,Naami,Living
bzw,,Basa (Nigeria),Living
bzx,,Kɛlɛngaxo Bozo,Living
bzy,,Obanliku,Living
bzz,,Evant,Living
caa,,Chortí,Living
cab,,Garifuna,Living
cac,,Chuj,Living
cad,,Caddo,Living
cae,,Lehar,Living
caf,,Southern Carrier,Living
cag,,Nivaclé,Living
cah,,Cahuarano,Living
caj,,Chané,Extinct
cak,,Kaqchikel,Living
cal,,Carolinian,Living
cam,,Cemuhî,Living
can,,Chambri,Living
cao,,Chácobo,Living
cap,,Chipaya,Living
caq,,Car Nicobarese,Living
car,,Galibi Carib,Living
cas,,Tsimané,Living
cat,ca,Catalan,Living
cav,,Cavineña,Living
caw,,Callawalla,Living
cax,,Chiquitano,Living
cay,,Cayuga,Living
caz,,Canichana,Extinct
cbb,,Cabiyarí,Living
cbc,,Carapana,Living
cbd,,Carijona,Living
cbe,,Chipiajes,Extinct
cbg,,Chimila,Living
cbh,,Cagua,Extinct
cbi,,Chachi,Living
cbj,,Ede Cabe,Living
cbk,,Chavacano,Living
cbl,,Bualkhaw Chin,Living
cbn,,Nyahkur,Living
cbo,,Izora,Living
cbr,,Cashibo-Cacataibo,Living
cbs,,Cashinahua,Living
cbt,,Chayahuita,Living
cbu,,Candoshi-Shapra,Living
cbv,,Cacua,Living
cbw,,Kinabalian,Living
cby,,Carabayo,Living
cca,,Cauca,Extinct
ccc,,Chamicuro,Living
ccd,,Cafundo Creole,Living
cce,,Chopi,Living
ccg,,Samba Daka,Living
cch,,Atsam,Living
ccj,,Kasanga,Living
ccl,,Cutchi-Swahili,Living
ccm,,Malaccan Creole Malay,Living
cco,,Comaltepec Chinantec,Living
ccp,,Chakma,Living
ccr,,Cacaopera,Extinct
cda,,Choni,Living
cde,,Chenchu,Living
cdf,,Chiru,Living
cdg,,Chamari,Living
cdh,,Chambeali,Living
cdi,,Chodri,Living
cdj,,Churahi,Living
cdm,,Chepang,Living
cdn,,Chaudangsi,Living
cdo,,Min Dong Chinese,Living
cdr,,Cinda-Regi-Tiyal,Living
cds,,Chadian Sign Language,Living
cdy,,Chadong,Living
cdz,,Koda,Living
cea,,Lower Chehalis,Extinct
ceb,,Cebuano,Living
ceg,,Chamacoco,Living
cek,,Eastern Khumi Chin,Living
cen,,Cen,Living
ces,cs,Czech,Living
cet,,Centúúm,Living
cfa,,Dijim-Bwilim,Living
cfd,,Cara,Living
cfg,,Como Karim,Living
cfm,,Falam Chin,Living
cga,,Changriwa,Living
cgc,,Kagayanen,Living
cgg,,Chiga,Living
cgk,,Chocangacakha,Living
cha,ch,Chamorro,Living
chb,,Chibcha,Extinct
chc,,Catawba,Extinct
chd,,Highland Oaxaca Chontal,Living
che,ce,Chechen,Living
chf,,Tabasco Chontal,Living
chg,,Chagatai,Extinct
chh,,Chinook,Living
chj,,Ojitlán Chinantec,Living
chk,,Chuukese,Living
chl,,Cahuilla,Living
chm,,Mari (Russia),Living
chn,,Chinook jargon,Living
cho,,Choctaw,Living
chp,,Chipewyan,Living
chq,,Quiotepec Chinantec,Living
chr,,Cherokee,Living
cht,,Cholón,Extinct
chu,cu,Church Slavic,Ancient
chv,cv,Chuvash,Living
chw,,Chuwabu,Living
chx,,Chantyal,Living
chy,,Cheyenne,Living
chz,,Ozumacín Chinantec,Living
cia,,Cia-Cia,Living
cib,,Ci Gbe,Living
cic,,Chickasaw,Living
cid,,Chimariko,Extinct
cie,,Cineni,Living
cih,,Chinali,Living
cik,,Chitkuli Kinnauri,Living
cim,,Cimbrian,Living
cin,,Cinta Larga,Living
cip,,Chiapanec,Living
cir,,Tiri,Living
ciw,,Chippewa,Living
ciy,,Chaima,Living
cja,,Western Cham,Living
cje,,Chru,Living
cjh,,Upper Chehalis,Extinct
cji,,Chamalal,Living
cjk,,Chokwe,Living
cjm,,Eastern Cham,Living
cjn,,Chenapian,Living
cjo,,Ashéninka Pajonal,Living
cjp,,Cabécar,Living
cjs,,Shor,Living
cjv,,Chuave,Living
cjy,,Jinyu Chinese,Living
ckb,,Central Kurdish,Living
ckh,,Chak,Living
ckl,,Cibak,Living
ckn,,Kaang Chin,Living
cko,,Anufo,Living
ckq,,Kajakse,Living
ckr,,Kairak,Living
cks,,Tayo,Living
ckt,,Chukot,Living
cku,,Koasati,Living
ckv,,Kavalan,Living
ckx,,Caka,Living
cky,,Cakfem-Mushere,Living
ckz,,Cakchiquel-Quiché Mixed Language,Living
cla,,Ron,Living
clc,,Chilcotin,Living
cld,,Chaldean Neo-Aramaic,Living
cle,,Lealao Chinantec,Living
clh,,Chilisso,Living
cli,,Chakali,Living
clj,,Laitu Chin,Living
clk,,Idu-Mishmi,Living
cll,,Chala,Living
clm,,Clallam,Living
clo,,Lowland Oaxaca Chontal,Living
clt,,Lautu Chin,Living
clu,,Caluyanun,Living
clw,,Chulym,Living
cly,,Eastern Highland Chatino,Living
cma,,Maa,Living
cme,,Cerma,Living
cmg,,Classical Mongolian,Historical
cmi,,Emberá-Chamí,Living
cml,,Campalagian,Living
cmm,,Michigamea,Extinct
cmn,,Mandarin Chinese,Living
cmo,,Central Mnong,Living
cmr,,Mro-Khimi Chin,Living
cms,,Messapic,Ancient
cmt,,Camtho,Living
cna,,Changthang,Living
cnb,,Chinbon Chin,Living
cnc,,Côông,Living
cng,,Northern Qiang,Living
cnh,,Haka Chin,Living
cni,,Asháninka,Living
cnk,,Khumi Chin,Living
cnl,,Lalana Chinantec,Living
cno,,Con,Living
cns,,Central Asmat,Living
cnt,,Tepetotutla Chinantec,Living
cnu,,Chenoua,Living
cnw,,Ngawn Chin,Living
cnx,,Middle Cornish,Historical
coa,,Cocos Islands Malay,Living
cob,,Chicomuceltec,Extinct
coc,,Cocopa,Living
cod,,Cocama-Cocamilla,Living
coe,,Koreguaje,Living
cof,,Colorado,Living
cog,,Chong,Living
coh,,Chonyi-Dzihana-Kauma,Living
coj,,Cochimi,Extinct
cok,,Santa Teresa Cora,Living
col,,Columbia-Wenatchi,Living
com,,Comanche,Living
con,,Cofán,Living
coo,,Comox,Living
cop,,Coptic,Extinct
coq,,Coquille,Extinct
cor,kw,Cornish,Living
cos,co,Corsican,Living
cot,,Caquinte,Living
cou,,Wamey,Living
cov,,Cao Miao,Living
cow,,Cowlitz,Extinct
cox,,Nanti,Living
coy,,Coyaima,Extinct
coz,,Chochotec,Living
cpa,,Palantla Chinantec,Living
cpb,,Ucayali-Yurúa Ashéninka,Living
cpc,,Ajyíninka Apurucayali,Living
cpg,,Cappadocian Greek,Extinct
cpi,,Chinese Pidgin English,Living
cpn,,Cherepon,Living
cpo,,Kpeego,Living
cps,,Capiznon,Living
cpu,,Pichis Ashéninka,Living
cpx,,Pu-Xian Chinese,Living
cpy,,South Ucayali Ashéninka,Living
cqd,,Chuanqiandian Cluster Miao,Living
cqu,,Chilean Quechua,Living
cra,,Chara,Living
crb,,Island Carib,Extinct
crc,,Lonwolwol,Living
crd,,Coeur d'Alene,Living
cre,cr,Cree,Living
crf,,Caramanta,Extinct
crg,,Michif,Living
crh,,Crimean Tatar,Living
cri,,Sãotomense,Living
crj,,Southern East Cree,Living
crk,,Plains Cree,Living
crl,,Northern East Cree,Living
crm,,Moose Cree,Living
crn,,El Nayar Cora,Living
cro,,Crow,Living
crq,,Iyo'wujwa Chorote,Living
crr,,Carolina Algonquian,Extinct
crs,,Seselwa Creole French,Living
crt,,Iyojwa'ja Chorote,Living
crv,,Chaura,Living
crw,,Chrau,Living
crx,,Carrier,Living
cry,,Cori,Living
crz,,Cruzeño,Extinct
csa,,Chiltepec Chinantec,Living
csb,,Kashubian,Living
csc,,Catalan Sign Language,Living
csd,,Chiangmai Sign Language,Living
cse,,Czech Sign Language,Living
csf,,Cuba Sign Language,Living
csg,,Chilean Sign Language,Living
csh,,Asho Chin,Living
csi,,Coast Miwok,Extinct
csj,,Songlai Chin,Living
csk,,Jola-Kasa,Living
csl,,Chinese Sign Language,Living
csm,,Central Sierra Miwok,Living
csn,,Colombian Sign Language,Living
cso,,Sochiapam Chinantec,Living
csq,,Croatia Sign Language,Living
csr,,Costa Rican Sign Language,Living
css,,Southern Ohlone,Extinct
cst,,Northern Ohlone,Living
csv,,Sumtu Chin,Living
csw,,Swampy Cree,Living
csy,,Siyin Chin,Living
csz,,Coos,Living
cta,,Tataltepec Chatino,Living
ctc,,Chetco,Living
ctd,,Tedim Chin,Living
cte,,Tepinapa Chinantec,Living
ctg,,Chittagonian,Living
cth,,Thaiphum Chin,Living
ctl,,Tlacoatzintepec Chinantec,Living
ctm,,Chitimacha,Extinct
ctn,,Chhintange,Living
cto,,Emberá-Catío,Living
ctp,,Western Highland Chatino,Living
cts,,Northern Catanduanes Bikol,Living
ctt,,Wayanad Chetti,Living
ctu,,Chol,Living
ctz,,Zacatepec Chatino,Living
cua,,Cua,Living
cub,,Cubeo,Living
cuc,,Usila Chinantec,Living
cug,,Cung,Living
cuh,,Chuka,Living
cui,,Cuiba,Living
cuj,,Mashco Piro,Living
cuk,,San Blas Kuna,Living
cul,,Culina,Living
cum,,Cumeral,Extinct
cuo,,Cumanagoto,Extinct
cup,,Cupeño,Extinct
cuq,,Cun,Living
cur,,Chhulung,Living
cut,,Teutila Cuicatec,Living
cuu,,Tai Ya,Living
cuv,,Cuvok,Living
cuw,,Chukwa,Living
cux,,Tepeuxila Cuicatec,Living
cvg,,Chug,Living
cvn,,Valle Nacional Chinantec,Living
cwa,,Kabwa,Living
cwb,,Maindo,Living
cwd,,Woods Cree,Living
cwe,,Kwere,Living
cwg,,Chewong,Living
cwt,,Kuwaataay,Living
cya,,Nopala Chatino,Living
cyb,,Cayubaba,Extinct
cym,cy,Welsh,Living
cyo,,Cuyonon,Living
czh,,Huizhou Chinese,Living
czk,,Knaanic,Extinct
czn,,Zenzontepec Chatino,Living
czo,,Min Zhong Chinese,Living
czt,,Zotung Chin,Living
daa,,Dangaléat,Living
dac,,Dambi,Living
dad,,Marik,Living
dae,,Duupa,Living
dag,,Dagbani,Living
dah,,Gwahatike,Living
dai,,Day,Living
daj,,Dar Fur Daju,Living
dak,,Dakota,Living
dal,,Dahalo,Living
dam,,Damakawa,Living
dan,da,Danish,Living
dao,,Daai Chin,Living
daq,,Dandami Maria,Living
dar,,Dargwa,Living
das,,Daho-Doo,Living
dau,,Dar Sila Daju,Living
dav,,Taita,Living
daw,,Davawenyo,Living
dax,,Dayi,Living
daz,,Dao,Living
dba,,Bangime,Living
dbb,,Deno,Living
dbd,,Dadiya,Living
dbe,,Dabe,Living
dbf,,Edopi,Living
dbg,,Dogul Dom Dogon,Living
dbi,,Doka,Living
dbj,,Ida'an,Living
dbl,,Dyirbal,Living
dbm,,Duguri,Living
dbn,,Duriankere,Living
dbo,,Dulbu,Living
dbp,,Duwai,Living
dbq,,Daba,Living
dbr,,Dabarre,Living
dbt,,Ben Tey Dogon,Living
dbu,,Bondum Dom Dogon,Living
dbv,,Dungu,Living
dbw,,Bankan Tey Dogon,Living
dby,,Dibiyaso,Living
dcc,,Deccan,Living
dcr,,Negerhollands,Extinct
dda,,Dadi Dadi,Extinct
ddd,,Dongotono,Living
dde,,Doondo,Living
ddg,,Fataluku,Living
ddi,,West Goodenough,Living
ddj,,Jaru,Living
ddn,,Dendi (Benin),Living
ddo,,Dido,Living
ddr,,Dhudhuroa,Extinct
dds,,Donno So Dogon,Living
ddw,,Dawera-Daweloor,Living
dec,,Dagik,Living
ded,,Dedua,Living
dee,,Dewoin,Living
def,,Dezfuli,Living
deg,,Degema,Living
deh,,Dehwari,Living
dei,,Demisa,Living
dek,,Dek,Living
del,,Delaware,Living
dem,,Dem,Living
den,,Slave (Athapascan),Living
dep,,Pidgin Delaware,Extinct
deq,,Dendi (Central African Republic),Living
der,,Deori,Living
des,,Desano,Living
deu,de,German,Living
dev,,Domung,Living
dez,,Dengese,Living
dga,,Southern Dagaare,Living
dgb,,Bunoge Dogon,Living
dgc,,Casiguran Dumagat Agta,Living
dgd,,Dagaari Dioula,Living
dge,,Degenan,Living
dgg,,Doga,Living
dgh,,Dghwede,Living
dgi,,Northern Dagara,Living
dgk,,Dagba,Living
dgl,,Andaandi,Living
dgn,,Dagoman,Extinct
dgo,,Dogri (individual language),Living
dgr,,Dogrib,Living
dgs,,Dogoso,Living
dgt,,Ndra'ngith,Extinct
dgu,,Degaru,Living
dgw,,Daungwurrung,Extinct
dgx,,Doghoro,Living
dgz,,Daga,Living
dhd,,Dhundari,Living
dhg,,Dhangu,Living
dhi,,Dhimal,Living
dhl,,Dhalandji,Living
dhm,,Zemba,Living
dhn,,Dhanki,Living
dho,,Dhodia,Living
dhr,,Dhargari,Living
dhs,,Dhaiso,Living
dhu,,Dhurga,Extinct
dhv,,Dehu,Living
dhw,,Dhanwar (Nepal),Living
dhx,,Dhungaloo,Living
dia,,Dia,Living
dib,,South Central Dinka,Living
dic,,Lakota Dida,Living
did,,Didinga,Living
dif,,Dieri,Extinct
dig,,Digo,Living
dih,,Kumiai,Living
dii,,Dimbong,Living
dij,,Dai,Living
dik,,Southwestern Dinka,Living
dil,,Dilling,Living
dim,,Dime,Living
din,,Dinka,Living
dio,,Dibo,Living
dip,,Northeastern Dinka,Living
diq,,Dimli (individual language),Living
dir,,Dirim,Living
dis,,Dimasa,Living
dit,,Dirari,Extinct
diu,,Diriku,Living
div,dv,Dhivehi,Living
diw,,Northwestern Dinka,Living
dix,,Dixon Reef,Living
diy,,Diuwe,Living
diz,,Ding,Living
dja,,Djadjawurrung,Extinct
djb,,Djinba,Living
djc,,Dar Daju Daju,Living
djd,,Djamindjung,Living
dje,,Zarma,Living
djf,,Djangun,Extinct
dji,,Djinang,Living
djj,,Djeebbana,Living
djk,,Eastern Maroon Creole,Living
djm,,Jamsay Dogon,Living
djn,,Djauan,Living
djo,,Jangkang,Living
djr,,Djambarrpuyngu,Living
dju,,Kapriman,Living
djw,,Djawi,Extinct
dka,,Dakpakha,Living
dkk,,Dakka,Living
dkr,,Kuijau,Living
dks,,Southeastern Dinka,Living
dkx,,Mazagway,Living
dlg,,Dolgan,Living
dlk,,Dahalik,Living
dlm,,Dalmatian,Extinct
dln,,Darlong,Living
dma,,Duma,Living
dmb,,Mombo Dogon,Living
dmc,,Gavak,Living
dmd,,Madhi Madhi,Extinct
dme,,Dugwor,Living
dmg,,Upper Kinabatangan,Living
dmk,,Domaaki,Living
dml,,Dameli,Living
dmm,,Dama,Living
dmo,,Kemedzung,Living
dmr,,East Damar,Living
dms,,Dampelas,Living
dmu,,Dubu,Living
dmv,,Dumpas,Living
dmw,,Mudburra,Living
dmx,,Dema,Living
dmy,,Demta,Living
dna,,Upper Grand Valley Dani,Living
dnd,,Daonda,Living
dne,,Ndendeule,Living
dng,,Dungan,Living
dni,,Lower Grand Valley Dani,Living
dnj,,Dan,Living
dnk,,Dengka,Living
dnn,,Dzùùngoo,Living
dnr,,Danaru,Living
dnt,,Mid Grand Valley Dani,Living
dnu,,Danau,Living
dnv,,Danu,Living
dnw,,Western Dani,Living
dny,,Dení,Living
doa,,Dom,Living
dob,,Dobu,Living
doc,,Northern Dong,Living
doe,,Doe,Living
dof,,Domu,Living
doh,,Dong,Living
doi,,Dogri (macrolanguage),Living
dok,,Dondo,Living
dol,,Doso,Living
don,,Toura (Papua New Guinea),Living
doo,,Dongo,Living
dop,,Lukpa,Living
doq,,Dominican Sign Language,Living
dor,,Dori'o,Living
dos,,Dogosé,Living
dot,,Dass,Living
dov,,Dombe,Living
dow,,Doyayo,Living
dox,,Bussa,Living
doy,,Dompo,Living
doz,,Dorze,Living
dpp,,Papar,Living
drb,,Dair,Living
drc,,Minderico,Living
drd,,Darmiya,Living
dre,,Dolpo,Living
drg,,Rungus,Living
dri,,C'lela,Living
drl,,Paakantyi,Living
drn,,West Damar,Living
dro,,Daro-Matu Melanau,Living
drq,,Dura,Extinct
drr,,Dororo,Extinct
drs,,Gedeo,Living
drt,,Drents,Living
dru,,Rukai,Living
dry,,Darai,Living
dsb,,Lower Sorbian,Living
dse,,Dutch Sign Language,Living
dsh,,Daasanach,Living
dsi,,Disa,Living
dsl,,Danish Sign Language,Living
dsn,,Dusner,Living
dso,,Desiya,Living
dsq,,Tadaksahak,Living
dta,,Daur,Living
dtb,,Labuk-Kinabatangan Kadazan,Living
dtd,,Ditidaht,Living
dth,,Adithinngithigh,Extinct
dti,,Ana Tinga Dogon,Living
dtk,,Tene Kan Dogon,Living
dtm,,Tomo Kan Dogon,Living
dto,,Tommo So Dogon,Living
dtp,,Central Dusun,Living
dtr,,Lotud,Living
dts,,Toro So Dogon,Living
dtt,,Toro Tegu Dogon,Living
dtu,,Tebul Ure Dogon,Living
dty,,Dotyali,Living
dua,,Duala,Living
dub,,Dubli,Living
duc,,Duna,Living
dud,,Hun-Saare,Living
due,,Umiray Dumaget Agta,Living
duf,,Dumbea,Living
dug,,Duruma,Living
duh,,Dungra Bhil,Living
dui,,Dumun,Living
duj,,Dhuwal,Living
duk,,Uyajitaya,Living
dul,,Alabat Island Agta,Living
dum,,Middle Dutch (ca. 1050-1350),Historical
dun,,Dusun Deyah,Living
duo,,Dupaninan Agta,Living
dup,,Duano,Living
duq,,Dusun Malang,Living
dur,,Dii,Living
dus,,Dumi,Living
duu,,Drung,Living
duv,,Duvle,Living
duw,,Dusun Witu,Living
dux,,Duungooma,Living
duy,,Dicamay Agta,Extinct
duz,,Duli,Extinct
dva,,Duau,Living
dwa,,Diri,Living
dwr,,Dawro,Living
dws,,Dutton World Speedwords,Constructed
dww,,Dawawa,Living
dya,,Dyan,Living
dyb,,Dyaberdyaber,Extinct
dyd,,Dyugun,Extinct
dyg,,Villa Viciosa Agta,Extinct
dyi,,Djimini Senoufo,Living
dym,,Yanda Dom Dogon,Living
dyn,,Dyangadi,Living
dyo,,Jola-Fonyi,Living
dyu,,Dyula,Living
dyy,,Dyaabugay,Living
dza,,Tunzu,Living
dzd,,Daza,Living
dze,,Djiwarli,Extinct
dzg,,Dazaga,Living
dzl,,Dzalakha,Living
dzn,,Dzando,Living
dzo,dz,Dzongkha,Living
eaa,,Karenggapa,Extinct
ebg,,Ebughu,Living
ebk,,Eastern Bontok,Living
ebo,,Teke-Ebo,Living
ebr,,Ebrié,Living
ebu,,Embu,Living
ecr,,Eteocretan,Ancient
ecs,,Ecuadorian Sign Language,Living
ecy,,Eteocypriot,Ancient
eee,,E,Living
efa,,Efai,Living
efe,,Efe,Living
efi,,Efik,Living
ega,,Ega,Living
egl,,Emilian,Living
ego,,Eggon,Living
egy,,Egyptian (Ancient),Ancient
ehu,,Ehueun,Living
eip,,Eipomek,Living
eit,,Eitiep,Living
eiv,,Askopan,Living
eja,,Ejamat,Living
eka,,Ekajuk,Living
ekc,,Eastern Karnic,Extinct
eke,,Ekit,Living
ekg,,Ekari,Living
eki,,Eki,Living
ekk,,Standard Estonian,Living
ekl,,Kol (Bangladesh),Living
ekm,,Elip,Living
eko,,Koti,Living
ekp,,Ekpeye,Living
ekr,,Yace,Living
eky,,Eastern Kayah,Living
ele,,Elepi,Living
elh,,El Hugeirat,Living
eli,,Nding,Extinct
elk,,Elkei,Living
ell,el,Modern Greek (1453-),Living
elm,,Eleme,Living
elo,,El Molo,Living
elu,,Elu,Living
elx,,Elamite,Ancient
ema,,Emai-Iuleha-Ora,Living
emb,,Embaloh,Living
eme,,Emerillon,Living
emg,,Eastern Meohang,Living
emi,,Mussau-Emira,Living
emk,,Eastern Maninkakan,Living
emm,,Mamulique,Extinct
emn,,Eman,Living
emp,,Northern Emberá,Living
ems,,Pacific Gulf Yupik,Living
emu,,Eastern Muria,Living
emw,,Emplawas,Living
emx,,Erromintxela,Living
emy,,Epigraphic Mayan,Extinct
ena,,Apali,Living
enb,,Markweeta,Living
enc,,En,Living
end,,Ende,Living
enf,,Forest Enets,Living
eng,en,English,Living
enh,,Tundra Enets,Living
enl,,Enlhet,Living
enm,,Middle English (1100-1500),Historical
enn,,Engenni,Living
eno,,Enggano,Living
enq,,Enga,Living
enr,,Emumu,Living
enu,,Enu,Living
env,,Enwan (Edu State),Living
enw,,Enwan (Akwa Ibom State),Living
enx,,Enxet,Living
eot,,Beti (Côte d'Ivoire),Living
epi,,Epie,Living
epo,eo,Esperanto,Constructed
era,,Eravallan,Living
erg,,Sie,Living
erh,,Eruwa,Living
eri,,Ogea,Living
erk,,South Efate,Living
ero,,Horpa,Living
err,,Erre,Extinct
ers,,Ersu,Living
ert,,Eritai,Living
erw,,Erokwanas,Living
ese,,Ese Ejja,Living
esh,,Eshtehardi,Living
esi,,North Alaskan Inupiatun,Living
esk,,Northwest Alaska Inupiatun,Living
esl,,Egypt Sign Language,Living
esm,,Esuma,Extinct
esn,,Salvadoran Sign Language,Living
eso,,Estonian Sign Language,Living
esq,,Esselen,Extinct
ess,,Central Siberian Yupik,Living
est,et,Estonian,Living
esu,,Central Yupik,Living
esy,,Eskayan,Living
etb,,Etebi,Living
etc,,Etchemin,Extinct
eth,,Ethiopian Sign Language,Living
etn,,Eton (Vanuatu),Living
eto,,Eton (Cameroon),Living
etr,,Edolo,Living
ets,,Yekhee,Living
ett,,Etruscan,Ancient
etu,,Ejagham,Living
etx,,Eten,Living
etz,,Semimi,Living
eus,eu,Basque,Living
eve,,Even,Living
evh,,Uvbie,Living
evn,,Evenki,Living
ewe,ee,Ewe,Living
ewo,,Ewondo,Living
ext,,Extremaduran,Living
eya,,Eyak,Extinct
eyo,,Keiyo,Living
eza,,Ezaa,Living
eze,,Uzekwe,Living
faa,,Fasu,Living
fab,,Fa d'Ambu,Living
fad,,Wagi,Living
faf,,Fagani,Living
fag,,Finongan,Living
fah,,Baissa Fali,Living
fai,,Faiwol,Living
faj,,Faita,Living
fak,,Fang (Cameroon),Living
fal,,South Fali,Living
fam,,Fam,Living
fan,,Fang (Equatorial Guinea),Living
fao,fo,Faroese,Living
fap,,Palor,Living
far,,Fataleka,Living
fas,fa,Persian,Living
fat,,Fanti,Living
fau,,Fayu,Living
fax,,Fala,Living
fay,,Southwestern Fars,Living
faz,,Northwestern Fars,Living
fbl,,West Albay Bikol,Living
fcs,,Quebec Sign Language,Living
fer,,Feroge,Living
ffi,,Foia Foia,Living
ffm,,Maasina Fulfulde,Living
fgr,,Fongoro,Living
fia,,Nobiin,Living
fie,,Fyer,Living
fij,fj,Fijian,Living
fil,,Filipino,Living
fin,fi,Finnish,Living
fip,,Fipa,Living
fir,,Firan,Living
fit,,Tornedalen Finnish,Living
fiw,,Fiwaga,Living
fkk,,Kirya-Konzəl,Living
fkv,,Kven Finnish,Living
fla,,Kalispel-Pend d'Oreille,Living
flh,,Foau,Living
fli,,Fali,Living
fll,,North Fali,Living
fln,,Flinders Island,Extinct
flr,,Fuliiru,Living
fly,,Flaaitaal,Living
fmp,,Fe'fe',Living
fmu,,Far Western Muria,Living
fng,,Fanagalo,Living
fni,,Fania,Living
fod,,Foodo,Living
foi,,Foi,Living
fom,,Foma,Living
fon,,Fon,Living
for,,Fore,Living
fos,,Siraya,Extinct
